Term	Count	PValue
regulation of cell cycle	10	8.74E-06
regulation of transcription by RNA polymerase II	39	0.00095
sensory epithelium regeneration	4	0.00115
cellular response to lipopolysaccharide	6	0.00463
regulation of cell population proliferation	5	0.00687
negative regulation of transcription by RNA polymerase II	11	0.00720
positive regulation of apoptotic process	7	0.00755
determination of left/right symmetry	7	0.00949
phosphatidylinositol phosphate biosynthetic process	5	0.00999
notochord development	5	0.01120
glucocorticoid biosynthetic process	3	0.01426
negative regulation of signal transduction	4	0.01450
immune response	12	0.01983
transdifferentiation	2	0.02832
negative regulation of T cell proliferation	4	0.02938
negative regulation of Wnt signaling pathway	4	0.03270
cell cycle	6	0.03462
inflammatory response	7	0.04091
mesodermal cell fate commitment	2	0.04219
binding of sperm to zona pellucida	3	0.04905
