Term	Count	PValue
axon guidance	98	1.25E-48
cell-cell adhesion	69	6.67E-27
cell surface receptor protein tyrosine kinase signaling	43	2.88E-17
actin cytoskeleton organization	45	7.61E-17
nervous system development	80	7.92E-16
semaphorin-plexin signaling pathway	27	1.08E-15
neural crest cell migration	38	2.94E-14
ephrin receptor signaling pathway	21	3.12E-13
regulation of GTPase activity	18	5.30E-11
regulation of cell shape	27	5.46E-09
phosphorylation	146	5.74E-09
cell migration	41	5.40E-09
actomyosin structure organization	18	5.84E-09
cytoskeleton organization	22	2.14E-08
monoatomic ion transport	89	5.82E-08
positive regulation of axonogenesis	13	5.90E-08
angiogenesis	40	1.16E-07
motor neuron axon guidance	19	3.40E-07
calcium ion transport	25	7.32E-07
endocytosis	32	9.82E-07
negative chemotaxis	15	1.07E-06
positive regulation of phosphatidylinositol 3-kinase	13	1.21E-06
heart development	47	1.56E-06
olfactory bulb axon guidance	7	1.52E-06
axon extension	15	2.09E-06
